Accession;Gene Symbol;Description;Contaminant;Marked as;# Peptides;# PSMs;# Unique Peptides;# Protein Groups;Biological Process;Cellular Component;Molecular Function;Entrez Gene ID;Ensembl Gene ID;KEGG Pathways;WikiPathways;# Razor Peptides;Abundance Ratio: (LIF) / (Control);Abundance Ratio P-Value: (LIF) / (Control);Abundance Ratio Adj. P-Value: (LIF) / (Control);Abundances (Grouped): Control;Abundances (Grouped): LIF;Abundances (Grouped) CV [%]: Control;Abundances (Grouped) CV [%]: LIF;Modifications
Q9CR26;Vta1;Vacuolar protein sorting-associated protein VTA1 homolog OS=Mus musculus OX=10090 GN=Vta1 PE=1 SV=1;FALSE;Mouse;3;4;3;1;"cell organization and biogenesis;transport";"cytoplasm;cytosol;endosome;membrane";protein binding;66201;ENSMUSG00000019868.16;Endocytosis;;0;0.987;0.839701724;0.965198204;100.6;99.4;17.43;6.61;
Q9CR27;"Ccdc53; Washc3";WASH complex subunit 3 OS=Mus musculus OX=10090 GN=Washc3 PE=1 SV=1;FALSE;Mouse;4;8;4;1;transport;endosome;;67282;ENSMUSG00000020056.16;Endocytosis;;0;1.172;0.203138404;0.858136371;92.1;107.9;14.98;6.01;
Q9CR29;Ccdc43;Coiled-coil domain-containing protein 43 OS=Mus musculus OX=10090 GN=Ccdc43 PE=1 SV=1;FALSE;Mouse;8;16;8;1;;;;52715;ENSMUSG00000020925.16;;;0;1.158;0.01989523;0.858136371;92.7;107.3;2.1;4.37;
Q9CR39;"Wdr45b; Wdr45l";WD repeat domain phosphoinositide-interacting protein 3 OS=Mus musculus OX=10090 GN=Wdr45b PE=1 SV=2;FALSE;Mouse;2;2;2;1;metabolic process;"cytosol;membrane";protein binding;66840;ENSMUSG00000025173.13;;;0;0.673;0.153954703;0.858136371;119.6;80.4;11.87;26.89;
Q9CR41;"2310003F16Rik; Hypk";Huntingtin-interacting protein K OS=Mus musculus OX=10090 GN=Hypk PE=1 SV=2;FALSE;Mouse;6;15;6;1;regulation of biological process;"cytoplasm;cytoskeleton;nucleus";protein binding;67693;ENSMUSG00000027245.11;;;0;1.179;0.426845401;0.883992015;91.8;108.2;24;6.27;
Q9CR47;"Nsa2; LOC636306; LOC102642514";Ribosome biogenesis protein NSA2 homolog OS=Mus musculus OX=10090 GN=Nsa2 PE=2 SV=1;FALSE;Mouse;3;6;3;1;metabolic process;nucleus;RNA binding;"59050; 102642514";ENSMUSG00000060739.7;;;0;1.019;0.951282378;0.992134396;99.1;100.9;15.17;8.6;
Q9CR48;Dram2;DNA damage-regulated autophagy modulator protein 2 OS=Mus musculus OX=10090 GN=Dram2 PE=2 SV=1;FALSE;Mouse;1;2;1;1;"cell death;metabolic process;regulation of biological process;response to stimulus";"cytoplasm;Golgi;membrane;vacuole";nucleotide binding;67171;ENSMUSG00000027900.15;;;0;0.871;0.227656406;0.858136371;106.9;93.1;4.39;9.53;
Q9CR51;Atp6v1g1;V-type proton ATPase subunit G 1 OS=Mus musculus OX=10090 GN=Atp6v1g1 PE=1 SV=3;FALSE;Mouse;1;1;1;1;"cellular homeostasis;response to stimulus;transport";"cytosol;membrane";"catalytic activity;protein binding;transporter activity";66290;ENSMUSG00000039105.6;"mTOR signaling pathway; Rheumatoid arthritis; Metabolic pathways; Phagosome; Oxidative phosphorylation; Synaptic vesicle cycle; Collecting duct acid secretion";Osteoclast;0;1.002;0.581941433;0.909878192;99.9;100.1;2.41;1.06;
Q9CR57;Rpl14;60S ribosomal protein L14 OS=Mus musculus OX=10090 GN=Rpl14 PE=1 SV=3;FALSE;Mouse;5;29;5;1;metabolic process;"membrane;ribosome";"protein binding;RNA binding;structural molecule activity";67115;ENSMUSG00000025794.9;Ribosome;;0;1.046;0.591385411;0.911783919;97.7;102.3;5.97;12.8;
Q9CR58;Slc25a30;Kidney mitochondrial carrier protein 1 OS=Mus musculus OX=10090 GN=Slc25a30 PE=1 SV=1;FALSE;Mouse;2;3;2;1;transport;"membrane;mitochondrion";transporter activity;67554;ENSMUSG00000022003.6;;;0;1.017;0.99414599;0.999639875;99.1;100.9;3.64;5.65;
Q9CR59;Gadd45gip1;Growth arrest and DNA damage-inducible proteins-interacting protein 1 OS=Mus musculus OX=10090 GN=Gadd45gip1 PE=1 SV=1;FALSE;Mouse;4;6;4;1;regulation of biological process;"mitochondrion;nucleus;ribosome";protein binding;102060;ENSMUSG00000033751.5;;PluriNetWork;0;0.886;0.692308144;0.931047622;106;94;12.21;12.95;
Q9CR61;Ndufb7;NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7 OS=Mus musculus OX=10090 GN=Ndufb7 PE=1 SV=3;FALSE;Mouse;2;2;2;1;"cell organization and biogenesis;metabolic process;transport";"membrane;mitochondrion";catalytic activity;66916;ENSMUSG00000033938.5;"Metabolic pathways; Huntington's disease; Non-alcoholic fatty liver disease (NAFLD); Oxidative phosphorylation; Parkinson's disease; Alzheimer's disease";"Electron Transport Chain; Oxidative phosphorylation";0;0.972;0.770103567;0.945223808;101.4;98.6;19.28;8.8;
Q9CR62;Slc25a11;Mitochondrial 2-oxoglutarate/malate carrier protein OS=Mus musculus OX=10090 GN=Slc25a11 PE=1 SV=3;FALSE;Mouse;8;31;8;1;transport;"membrane;mitochondrion;nucleus";"RNA binding;transporter activity";67863;ENSMUSG00000014606.14;;;0;0.919;0.464492217;0.88881043;104.2;95.8;6.07;9.81;
Q9CR67;Tmem33;Transmembrane protein 33 OS=Mus musculus OX=10090 GN=Tmem33 PE=1 SV=1;FALSE;Mouse;2;5;2;1;"cell organization and biogenesis;regulation of biological process;response to stimulus";"endoplasmic reticulum;membrane;nucleus";"protein binding;structural molecule activity";67878;ENSMUSG00000037720.16;;;0;1.022;0.31187871;0.866856602;98.9;101.1;13.4;12.86;
Q9CR68;Uqcrfs1;Cytochrome b-c1 complex subunit Rieske, mitochondrial OS=Mus musculus OX=10090 GN=Uqcrfs1 PE=1 SV=1;FALSE;Mouse;8;29;8;1;"metabolic process;response to stimulus;transport";"membrane;mitochondrion";"catalytic activity;metal ion binding;protein binding;transporter activity";66694;ENSMUSG00000038462.3;"Metabolic pathways; Huntington's disease; Non-alcoholic fatty liver disease (NAFLD); Oxidative phosphorylation; Parkinson's disease; Alzheimer's disease; Cardiac muscle contraction";Electron Transport Chain;0;1.105;0.20683124;0.858136371;95;105;1.57;8.52;
Q9CR80;Fam32a;Protein FAM32A OS=Mus musculus OX=10090 GN=Fam32a PE=2 SV=1;FALSE;Mouse;2;2;2;1;cell death;nucleus;RNA binding;67922;ENSMUSG00000003039.9;;;0;1.117;0.418439615;0.882388679;94.5;105.5;14.43;19.38;
Q9CR86;Carhsp1;Calcium-regulated heat stable protein 1 OS=Mus musculus OX=10090 GN=Carhsp1 PE=1 SV=1;FALSE;Mouse;3;17;3;1;regulation of biological process;"cytoplasm;cytosol";"DNA binding;protein binding;RNA binding";52502;ENSMUSG00000008393.8;;;0;1.053;0.314263001;0.869561766;97.4;102.6;13.03;2.37;
Q9CR88;Mrps14;28S ribosomal protein S14, mitochondrial OS=Mus musculus OX=10090 GN=Mrps14 PE=1 SV=1;FALSE;Mouse;1;1;1;1;metabolic process;"mitochondrion;ribosome";"protein binding;RNA binding;structural molecule activity";64659;ENSMUSG00000058267.13;Ribosome;;0;;;;;;;;
Q9CR89;Ergic2;Endoplasmic reticulum-Golgi intermediate compartment protein 2 OS=Mus musculus OX=10090 GN=Ergic2 PE=1 SV=1;FALSE;Mouse;3;4;3;1;transport;"cytoplasm;endoplasmic reticulum;Golgi;membrane;nucleus";;67456;ENSMUSG00000030304.11;;mRNA processing;0;0.93;0.164665939;0.858136371;103.6;96.4;9.49;3.9;
Q9CR95;Necap1;Adaptin ear-binding coat-associated protein 1 OS=Mus musculus OX=10090 GN=Necap1 PE=1 SV=2;FALSE;Mouse;7;17;6;1;transport;membrane;protein binding;67602;ENSMUSG00000030327.8;;;1;1.146;0.000790655;0.858136371;93.2;106.8;1.79;1.84;
Q9CR96;Tmem208;Transmembrane protein 208 OS=Mus musculus OX=10090 GN=Tmem208 PE=2 SV=1;FALSE;Mouse;1;1;1;1;metabolic process;"endoplasmic reticulum;membrane;vacuole";;66320;ENSMUSG00000014856.12;;;0;1.052;0.369253348;0.87501916;97.5;102.5;8.66;8.71;
Q9CR98;Fam136a;Protein FAM136A OS=Mus musculus OX=10090 GN=Fam136a PE=1 SV=1;FALSE;Mouse;1;1;1;1;;"cytoplasm;mitochondrion";;66488;ENSMUSG00000057497.8;;;0;;;;;;;;
Q9CRA4;"Sc4mol; Msmo1";Methylsterol monooxygenase 1 OS=Mus musculus OX=10090 GN=Msmo1 PE=1 SV=1;FALSE;Mouse;3;5;3;1;metabolic process;"endoplasmic reticulum;membrane";"catalytic activity;metal ion binding";66234;ENSMUSG00000031604.10;"Steroid biosynthesis; Metabolic pathways";Cholesterol Biosynthesis;0;0.984;0.760078843;0.943564924;100.8;99.2;15.59;6.95;
Q9CRA5;Golph3;Golgi phosphoprotein 3 OS=Mus musculus OX=10090 GN=Golph3 PE=1 SV=1;FALSE;Mouse;4;6;4;1;"cell organization and biogenesis;cell proliferation;cellular component movement;metabolic process;regulation of biological process;transport";"cytosol;endosome;Golgi;membrane;mitochondrion";protein binding;66629;ENSMUSG00000022200.7;Transcriptional misregulation in cancer;;0;0.968;0.441379235;0.885768536;101.6;98.4;10.67;14.27;
Q9CRA8;Exosc5;Exosome complex component RRP46 OS=Mus musculus OX=10090 GN=Exosc5 PE=1 SV=1;FALSE;Mouse;3;5;3;1;"defense response;metabolic process;response to stimulus";"cytoplasm;nucleus";RNA binding;27998;ENSMUSG00000061286.7;RNA degradation;mRNA processing;0;0.96;0.179542132;0.858136371;102;98;3.01;4.07;
Q9CRA9;Fgfr1op2;FGFR1 oncogene partner 2 homolog OS=Mus musculus OX=10090 GN=Fgfr1op2 PE=1 SV=1;FALSE;Mouse;1;2;1;1;response to stimulus;cytoplasm;protein binding;67529;ENSMUSG00000040242.14;;;0;;;;;;;;
Q9CRB0;Snx24;Sorting nexin-24 OS=Mus musculus OX=10090 GN=Snx24 PE=1 SV=1;FALSE;Mouse;1;1;1;1;transport;membrane;;69226;ENSMUSG00000024535.15;;;0;;;;;;;;
Q9CRB2;Nhp2;H/ACA ribonucleoprotein complex subunit 2 OS=Mus musculus OX=10090 GN=Nhp2 PE=1 SV=1;FALSE;Mouse;2;10;2;1;metabolic process;nucleus;"protein binding;RNA binding";52530;ENSMUSG00000001056.3;Ribosome biogenesis in eukaryotes;;0;0.99;0.887712135;0.973356246;100.5;99.5;4.73;5.93;
Q9CRB6;Tppp3;Tubulin polymerization-promoting protein family member 3 OS=Mus musculus OX=10090 GN=Tppp3 PE=1 SV=1;FALSE;Mouse;8;48;8;1;cell organization and biogenesis;"cytoplasm;cytoskeleton";protein binding;67971;ENSMUSG00000014846.12;;;0;1.074;0.484927594;0.890336285;96.4;103.6;23.85;4.94;
Q9CRB9;Chchd3;MICOS complex subunit Mic19 OS=Mus musculus OX=10090 GN=Chchd3 PE=1 SV=1;FALSE;Mouse;6;20;6;1;"cell organization and biogenesis;metabolic process;regulation of biological process";"cytoplasm;membrane;mitochondrion;nucleus";"protein binding;structural molecule activity";66075;ENSMUSG00000053768.13;;;0;1.034;0.211855468;0.858136371;98.3;101.7;4.38;1.31;
Q9CRC3;3110040N11Rik;UPF0235 protein C15orf40 homolog OS=Mus musculus OX=10090 PE=1 SV=1;FALSE;Mouse;1;1;1;1;;;;67290;ENSMUSG00000025102.14;;;0;0.836;0.390347133;0.879342554;108.9;91.1;38.29;34.75;
Q9CRC8;Lrrc40;Leucine-rich repeat-containing protein 40 OS=Mus musculus OX=10090 GN=Lrrc40 PE=1 SV=2;FALSE;Mouse;13;24;13;1;"regulation of biological process;response to stimulus";membrane;protein binding;67144;;;;0;0.945;0.084613064;0.858136371;102.8;97.2;5.84;4.79;
Q9CRC9;Gnpda2;Glucosamine-6-phosphate isomerase 2 OS=Mus musculus OX=10090 GN=Gnpda2 PE=1 SV=1;FALSE;Mouse;2;2;1;1;metabolic process;"cytoplasm;nucleus";catalytic activity;67980;ENSMUSG00000029209.15;"Metabolic pathways; Amino sugar and nucleotide sugar metabolism";;0;1.111;0.973816985;0.997188956;94.8;105.2;17.96;13.71;
Q9CRD0;Ociad1;OCIA domain-containing protein 1 OS=Mus musculus OX=10090 GN=Ociad1 PE=1 SV=1;FALSE;Mouse;4;9;4;1;regulation of biological process;"endosome;membrane;mitochondrion";protein binding;68095;ENSMUSG00000029152.13;;;0;;;;;;;;
Q9CRD2;Emc2;ER membrane protein complex subunit 2 OS=Mus musculus OX=10090 GN=Emc2 PE=1 SV=1;FALSE;Mouse;8;14;8;1;metabolic process;"cytoplasm;endoplasmic reticulum;mitochondrion;nucleus";protein binding;66736;ENSMUSG00000022337.6;;;0;1.035;0.946720725;0.990058492;98.3;101.7;13.9;2.08;
Q9CRT8;Xpot;Exportin-T OS=Mus musculus OX=10090 GN=Xpot PE=1 SV=3;FALSE;Mouse;7;11;7;1;transport;"cytoplasm;cytosol;nucleus";"protein binding;RNA binding";73192;ENSMUSG00000034667.8;;;0;0.975;0.368053656;0.87501916;101.3;98.7;5.02;4.64;
Q9CRW3;3110009E18Rik;UPF0538 protein C2orf76 homolog OS=Mus musculus OX=10090 PE=1 SV=2;FALSE;Mouse;1;1;1;1;;;;73103;ENSMUSG00000026388.15;;;0;;;;;;;;
Q9CS00;Cactin;Cactin OS=Mus musculus OX=10090 GN=Cactin PE=1 SV=2;FALSE;Mouse;2;2;2;1;"defense response;development;metabolic process;regulation of biological process;response to stimulus";"cytosol;nucleus;spliceosomal complex";"protein binding;RNA binding";70312;ENSMUSG00000034889.8;;;0;0.983;0.327760083;0.869561766;100.9;99.1;3.28;3.55;
Q9CS42;Prps2;Ribose-phosphate pyrophosphokinase 2 OS=Mus musculus OX=10090 GN=Prps2 PE=1 SV=4;FALSE;Mouse;5;19;2;1;metabolic process;;"catalytic activity;metal ion binding;nucleotide binding;protein binding";110639;ENSMUSG00000025742.5;"Metabolic pathways; Biosynthesis of amino acids; Purine metabolism; Pentose phosphate pathway; Carbon metabolism";"Nucleotide Metabolism; Purine metabolism";0;0.931;0.045742983;0.858136371;103.6;96.4;4.78;2.97;
Q9CSH3;Dis3;Exosome complex exonuclease RRP44 OS=Mus musculus OX=10090 GN=Dis3 PE=1 SV=4;FALSE;Mouse;18;30;18;1;metabolic process;"cytoplasm;cytosol;membrane;nucleus";"catalytic activity;RNA binding";72662;ENSMUSG00000033166.10;RNA degradation;mRNA processing;0;0.972;0.271644112;0.862578915;101.4;98.6;14.39;4.29;
Q9CSN1;Snw1;SNW domain-containing protein 1 OS=Mus musculus OX=10090 GN=Snw1 PE=1 SV=3;FALSE;Mouse;18;42;18;1;"cell differentiation;cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus";"chromosome;cytoplasm;nucleus;spliceosomal complex";"protein binding;RNA binding";66354;;"Epstein-Barr virus infection; Spliceosome; Notch signaling pathway; Viral carcinogenesis";"Delta-Notch Signaling Pathway; Splicing factor NOVA regulated synaptic proteins; Notch Signaling Pathway";0;1.13;0.048919409;0.858136371;93.9;106.1;6.29;4.66;
Q9CSU0;Rprd1b;Regulation of nuclear pre-mRNA domain-containing protein 1B OS=Mus musculus OX=10090 GN=Rprd1b PE=1 SV=2;FALSE;Mouse;4;7;4;1;"metabolic process;regulation of biological process";"cytosol;nucleus";protein binding;70470;ENSMUSG00000027651.16;;;0;0.976;0.764825401;0.944902399;101.2;98.8;12.16;7.14;
Q9CT10;Ranbp3;Ran-binding protein 3 OS=Mus musculus OX=10090 GN=Ranbp3 PE=1 SV=2;FALSE;Mouse;13;44;13;1;"cell organization and biogenesis;metabolic process;regulation of biological process;transport";"cytoplasm;nucleus";"enzyme regulator activity;protein binding";71810;ENSMUSG00000002372.8;HTLV-I infection;;0;0.992;0.250323891;0.858136371;100.4;99.6;2.31;4.34;
Q9CU62;Smc1a;Structural maintenance of chromosomes protein 1A OS=Mus musculus OX=10090 GN=Smc1a PE=1 SV=4;FALSE;Mouse;55;131;55;1;"cell division;cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus";"chromosome;cytosol;nucleus";"nucleotide binding;protein binding;RNA binding";24061;ENSMUSG00000041133.11;"Oocyte meiosis; Cell cycle";"miRNA regulation of DNA Damage Response; mRNA processing";0;0.981;0.389438797;0.879342554;100.9;99.1;8.86;4.25;
Q9CU65;Zmym2;Zinc finger MYM-type protein 2 OS=Mus musculus OX=10090 GN=Zmym2 PE=1 SV=3;FALSE;Mouse;4;5;4;1;"cell organization and biogenesis;development;metabolic process;regulation of biological process";"cytoplasm;nucleus";"DNA binding;metal ion binding;protein binding";76007;ENSMUSG00000021945.8;;PluriNetWork;0;1;0.665574008;0.926981189;100;100;6.15;6.1;
Q9CV28;"Fam188a; Mindy3";Ubiquitin carboxyl-terminal hydrolase MINDY-3 OS=Mus musculus OX=10090 GN=MINDY3 PE=1 SV=2;FALSE;Mouse;2;2;2;1;"cell death;metabolic process";"membrane;nucleus";catalytic activity;66960;ENSMUSG00000026767.12;;;0;;;;;;;;
Q9CVB6;Arpc2;Actin-related protein 2/3 complex subunit 2 OS=Mus musculus OX=10090 GN=Arpc2 PE=1 SV=3;FALSE;Mouse;13;60;13;1;"cell organization and biogenesis;regulation of biological process;response to stimulus";"cell surface;cytoplasm;cytoskeleton;endosome;membrane";"protein binding;structural molecule activity";76709;ENSMUSG00000006304.14;"Endocytosis; Regulation of actin cytoskeleton; Salmonella infection; Fc gamma R-mediated phagocytosis; Bacterial invasion of epithelial cells";;0;0.993;0.949276942;0.991060872;100.4;99.6;14.32;5.05;
Q9CVD2;Atxn3;Ataxin-3 OS=Mus musculus OX=10090 GN=Atxn3 PE=1 SV=2;FALSE;Mouse;1;1;1;1;"cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus";"cytoplasm;cytosol;membrane;nucleus;organelle lumen";"catalytic activity;DNA binding;protein binding";110616;ENSMUSG00000021189.11;Protein processing in endoplasmic reticulum;;0;;;;;;;;
Q9CVI2;Fam133b;Protein FAM133B OS=Mus musculus OX=10090 GN=Fam133b PE=1 SV=3;FALSE;Mouse;1;1;1;1;;;RNA binding;68152;ENSMUSG00000058503.11;;;0;1.297;0.203214927;0.858136371;87.1;112.9;1.53;21.66;
Q9CW46;"Raver1; Raver1-fdx1l; Gm38431";Ribonucleoprotein PTB-binding 1 OS=Mus musculus OX=10090 GN=Raver1 PE=1 SV=2;FALSE;Mouse;8;20;8;1;metabolic process;"cytoplasm;nucleus";RNA binding;"71766; 100568458";"ENSMUSG00000010205.11; ENSMUSG00000111497.1";;mRNA processing;0;1.144;0.16404591;0.858136371;93.3;106.7;8.19;3.3;
Q9CW79;Golga1;Golgin subfamily A member 1 OS=Mus musculus OX=10090 GN=Golga1 PE=1 SV=2;FALSE;Mouse;2;2;2;1;transport;"Golgi;membrane";protein binding;76899;ENSMUSG00000026754.16;;;0;0.903;0.048907997;0.858136371;105.1;94.9;3.84;3.01;
Q9CWD8;Nubpl;Iron-sulfur protein NUBPL OS=Mus musculus OX=10090 GN=Nubpl PE=1 SV=2;FALSE;Mouse;2;2;2;1;cell organization and biogenesis;"membrane;mitochondrion";"metal ion binding;nucleotide binding";76826;ENSMUSG00000035142.18;;;0;;;;;;;;
Q9CWE0;"Fam54b; Mtfr1l";Mitochondrial fission regulator 1-like OS=Mus musculus OX=10090 GN=Mtfr1l PE=1 SV=1;FALSE;Mouse;1;4;1;1;"cell organization and biogenesis;metabolic process";mitochondrion;;76824;ENSMUSG00000046671.18;;;0;;;;;;;;
Q9CWF2;Tubb2b;Tubulin beta-2B chain OS=Mus musculus OX=10090 GN=Tubb2b PE=1 SV=1;FALSE;Mouse;20;440;1;1;"cell organization and biogenesis;cellular component movement;regulation of biological process";"cytoplasm;cytoskeleton;nucleus";"catalytic activity;nucleotide binding;protein binding;structural molecule activity";73710;ENSMUSG00000045136.5;"Phagosome; Gap junction";;0;0.968;0.946583529;0.990058492;101.6;98.4;10.74;2.92;
Q9CWG8;"2410091C18Rik; Ndufaf7";Protein arginine methyltransferase NDUFAF7, mitochondrial OS=Mus musculus OX=10090 GN=Ndufaf7 PE=1 SV=4;FALSE;Mouse;3;3;3;1;"cell organization and biogenesis;metabolic process";mitochondrion;"catalytic activity;protein binding";73694;ENSMUSG00000024082.4;;;0;1.085;0.99009224;0.998917519;95.9;104.1;4.16;18.68;
Q9CWH5;Trmt11;tRNA (guanine(10)-N2)-methyltransferase homolog OS=Mus musculus OX=10090 GN=Trmt11 PE=1 SV=1;FALSE;Mouse;1;1;1;1;"metabolic process;regulation of biological process";;"catalytic activity;DNA binding;RNA binding";73681;;;;0;;;;;;;;
Q9CWI3;Bccip;BRCA2 and CDKN1A-interacting protein OS=Mus musculus OX=10090 GN=Bccip PE=1 SV=1;FALSE;Mouse;4;4;4;1;"cell differentiation;cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus";"cytoplasm;cytoskeleton;cytosol;nucleus";"enzyme regulator activity;protein binding;RNA binding";66165;ENSMUSG00000030983.4;;;0;1.158;0.228009609;0.858136371;92.7;107.3;11.47;3.92;
Q9CWJ9;Atic;Bifunctional purine biosynthesis protein PURH OS=Mus musculus OX=10090 GN=Atic PE=1 SV=2;FALSE;Mouse;27;174;27;1;"metabolic process;response to stimulus";"membrane;mitochondrion";"catalytic activity;protein binding";108147;ENSMUSG00000026192.13;"Metabolic pathways; Purine metabolism; Antifolate resistance; One carbon pool by folate";"Purine metabolism; One Carbon Metabolism";0;0.931;0.302086231;0.866856602;103.6;96.4;7.52;1.2;
Q9CWK3;Cd2bp2;CD2 antigen cytoplasmic tail-binding protein 2 OS=Mus musculus OX=10090 GN=Cd2bp2 PE=1 SV=1;FALSE;Mouse;7;15;7;1;"metabolic process;regulation of biological process";"cytoplasm;cytosol;nucleus";protein binding;70233;ENSMUSG00000042502.10;;mRNA processing;0;1.151;0.119372154;0.858136371;93;107;6.97;8.92;
Q9CWK8;Snx2;Sorting nexin-2 OS=Mus musculus OX=10090 GN=Snx2 PE=1 SV=2;FALSE;Mouse;19;69;17;1;"cell organization and biogenesis;transport";"cytoplasm;cytosol;endosome;membrane;vacuole";protein binding;67804;ENSMUSG00000034484.7;Endocytosis;;2;1.02;0.529630528;0.89784396;99;101;4.73;3.8;
Q9CWL8;Ctnnbl1;Beta-catenin-like protein 1 OS=Mus musculus OX=10090 GN=Ctnnbl1 PE=1 SV=1;FALSE;Mouse;10;15;10;1;"cell death;regulation of biological process";"membrane;nucleus;spliceosomal complex";protein binding;66642;ENSMUSG00000027649.15;Spliceosome;;0;0.973;0.574276142;0.908071249;101.4;98.6;20.3;6.63;
Q9CWM4;Pfdn1;Prefoldin subunit 1 OS=Mus musculus OX=10090 GN=Pfdn1 PE=1 SV=1;FALSE;Mouse;4;5;4;1;"cell organization and biogenesis;metabolic process";cytoplasm;protein binding;67199;;;;0;1.129;0.433358768;0.884560905;93.9;106.1;29.19;6.64;
Q9CWN7;"Cnot11; D1Bwg0212e";CCR4-NOT transcription complex subunit 11 OS=Mus musculus OX=10090 GN=Cnot11 PE=1 SV=1;FALSE;Mouse;3;3;3;1;"metabolic process;regulation of biological process";"cytoplasm;nucleus";;52846;ENSMUSG00000003135.15;;;0;0.914;0.667255175;0.927078818;104.5;95.5;20.35;4.84;
Q9CWP6;Mospd2;Motile sperm domain-containing protein 2 OS=Mus musculus OX=10090 GN=Mospd2 PE=1 SV=2;FALSE;Mouse;3;3;3;1;"regulation of biological process;response to stimulus";membrane;;76763;;;;0;1.028;0.972915204;0.997188956;98.6;101.4;18.36;1.69;
Q9CWP8;Pold4;DNA polymerase delta subunit 4 OS=Mus musculus OX=10090 GN=Pold4 PE=1 SV=1;FALSE;Mouse;1;1;1;1;"metabolic process;regulation of biological process;response to stimulus";"cytosol;mitochondrion;nucleus";catalytic activity;69745;"ENSMUSG00000024854.3; ENSMUSG00000097508.2";"DNA replication; Homologous recombination; Metabolic pathways; HTLV-I infection; Purine metabolism; Nucleotide excision repair; Pyrimidine metabolism; Base excision repair; Mismatch repair";"Homologous recombination; DNA Replication; Purine metabolism";0;;;;;;;;
Q9CWQ0;Dph5;Diphthine methyl ester synthase OS=Mus musculus OX=10090 GN=Dph5 PE=1 SV=2;FALSE;Mouse;2;2;2;1;metabolic process;;catalytic activity;69740;ENSMUSG00000033554.17;;;0;1.115;0.894661054;0.97508779;94.6;105.4;17.41;3.01;
Q9CWR1;Wdr73;WD repeat-containing protein 73 OS=Mus musculus OX=10090 GN=Wdr73 PE=1 SV=1;FALSE;Mouse;1;1;1;1;"cell organization and biogenesis;regulation of biological process";"cytoplasm;cytoskeleton;cytosol";protein binding;71968;ENSMUSG00000025722.16;;;0;;;;;;;;
